IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.228.34.105,2053,443,TRUE,YYZ,North America,Toronto,222,8.19
20.220.204.217,443,443,TRUE,YYZ,North America,Toronto,281,7.83
52.228.34.105,8443,443,TRUE,YYZ,North America,Toronto,221,7.8
20.246.127.166,443,443,TRUE,IAD,North America,Ashburn,229,7.71
172.190.150.25,8443,443,TRUE,IAD,North America,Ashburn,230,7.7
20.75.178.96,443,443,TRUE,IAD,North America,Ashburn,226,7.41
74.249.233.213,443,443,TRUE,ORD,North America,Chicago,198,7.23
172.208.36.45,443,443,TRUE,IAD,North America,Ashburn,224,6.82
20.246.144.214,443,443,TRUE,IAD,North America,Ashburn,256,6.81
172.208.36.45,80,443,TRUE,IAD,North America,Ashburn,251,6.12
20.226.170.152,443,0,FALSE,GRU,South America,São Paulo,333,4.06
191.237.202.255,443,0,FALSE,GRU,South America,São Paulo,348,3.99
4.228.9.204,443,0,FALSE,GRU,South America,São Paulo,331,3.89
191.237.205.178,443,0,FALSE,GRU,South America,São Paulo,346,3.49
20.170.41.153,443,443,TRUE,FRA,Europe,Frankfurt,158,3.43
52.187.35.233,80,0,FALSE,SIN,Asia Pacific,Singapore,2,0.85
20.92.32.172,80,0,FALSE,SYD,Oceania,Sydney,84,0.12
40.115.253.187,80,0,FALSE,NRT,Asia Pacific,Tokyo,68,0.07
40.115.253.187,8080,0,FALSE,HKG,Asia Pacific,Hong Kong,70,0.06
20.102.24.191,80,0,FALSE,IAD,North America,Ashburn,228,0.06
20.243.87.182,80,0,FALSE,HKG,Asia Pacific,Hong Kong,67,0.06
13.94.60.131,80,0,FALSE,HKG,Asia Pacific,Hong Kong,38,0.06
172.162.242.200,80,0,FALSE,FRA,Europe,Frankfurt,151,0.05
20.204.43.57,80,443,FALSE,DEL,Asia Pacific,New Delhi,47,0.05
52.184.217.63,80,0,FALSE,IAD,North America,Ashburn,223,0.04
20.86.52.80,80,0,FALSE,AMS,Europe,Amsterdam,158,0.03
51.143.162.160,80,80,FALSE,LHR,Europe,London,154,0.03
20.81.104.97,80,443,FALSE,IAD,North America,Ashburn,225,0.02
13.82.233.190,80,0,FALSE,IAD,North America,Ashburn,233,0.01
40.83.203.12,80,0,FALSE,SJC,North America,San Jose,168,0.01
